datetime,sym,price,size,side,ordertype,orderid,channelno,seqno,bizindex
2024-01-02 09:15:00.100,600085.SH,59.06,100.0,-1,0,313,4,51028,57644
2024-01-02 09:15:00.600,600085.SH,53.76,200.0,-1,0,2320,4,51029,57645
2024-01-02 09:15:00.660,600085.SH,57.0,1000.0,-1,0,2545,4,51030,57646
2024-01-02 09:15:00.870,600085.SH,52.5,500.0,1,0,4047,4,51031,57647
2024-01-02 09:15:00.870,600085.SH,52.94,100.0,1,0,4053,4,51032,57648
2024-01-02 09:15:00.870,600085.SH,55.17,200.0,-1,0,4424,4,51033,57649
2024-01-02 09:15:00.870,600085.SH,59.07,300.0,-1,0,4511,4,51034,57650
2024-01-02 09:15:00.870,600085.SH,54.29,200.0,-1,0,5026,4,51035,57651
2024-01-02 09:15:00.870,600085.SH,54.56,200.0,-1,0,5051,4,51036,57652
2024-01-02 09:15:00.870,600085.SH,55.29,200.0,-1,0,5064,4,51037,57653
2024-01-02 09:15:00.870,600085.SH,56.29,200.0,-1,0,5065,4,51038,57654
2024-01-02 09:15:00.870,600085.SH,53.7,900.0,-1,0,5185,4,51039,57655
2024-01-02 09:15:01.020,600085.SH,59.07,100.0,-1,0,6218,4,51040,57656
2024-01-02 09:15:01.020,600085.SH,55.18,300.0,-1,0,6378,4,51041,57657
2024-01-02 09:15:01.090,600085.SH,55.5,100.0,-1,0,7357,4,51042,57658
2024-01-02 09:15:01.090,600085.SH,55.7,100.0,-1,0,7362,4,51043,57659
2024-01-02 09:15:01.090,600085.SH,55.9,100.0,-1,0,7369,4,51044,57660
2024-01-02 09:15:01.090,600085.SH,56.1,100.0,-1,0,7377,4,51045,57661
2024-01-02 09:15:01.090,600085.SH,57.1,100.0,-1,0,7381,4,51046,57662
2024-01-02 09:15:01.090,600085.SH,58.1,100.0,-1,0,7391,4,51047,57663
2024-01-02 09:15:01.090,600085.SH,54.45,400.0,-1,0,7397,4,51048,57664
2024-01-02 09:15:01.090,600085.SH,57.0,100.0,-1,0,7423,4,51049,57665
2024-01-02 09:15:01.090,600085.SH,55.0,100.0,-1,0,7432,4,51050,57666
2024-01-02 09:15:01.090,600085.SH,55.5,100.0,-1,0,7439,4,51051,57667
2024-01-02 09:15:01.090,600085.SH,56.5,100.0,-1,0,7443,4,51052,57668
2024-01-02 09:15:01.090,600085.SH,58.1,100.0,-1,0,7445,4,51053,57669
2024-01-02 09:15:01.090,600085.SH,53.13,1000.0,1,0,7462,4,51054,57670
2024-01-02 09:15:01.090,600085.SH,53.01,1000.0,1,0,7478,4,51055,57671
2024-01-02 09:15:01.090,600085.SH,53.33,1000.0,1,0,7479,4,51056,57672
2024-01-02 09:15:01.090,600085.SH,55.55,1000.0,-1,0,7863,4,51057,57673
2024-01-02 09:15:01.090,600085.SH,52.81,300.0,1,0,8064,4,51058,57674
2024-01-02 09:15:01.090,600085.SH,54.0,200.0,-1,0,8115,4,51059,57675
2024-01-02 09:15:01.090,600085.SH,55.0,200.0,-1,0,8125,4,51060,57676
2024-01-02 09:15:01.090,600085.SH,56.0,200.0,-1,0,8133,4,51061,57677
2024-01-02 09:15:01.090,600085.SH,57.0,200.0,-1,0,8141,4,51062,57678
2024-01-02 09:15:01.090,600085.SH,58.0,200.0,-1,0,8152,4,51063,57679
2024-01-02 09:15:01.090,600085.SH,53.3,2800.0,1,0,8192,4,51064,57680
2024-01-02 09:15:01.090,600085.SH,58.8,300.0,-1,0,8515,4,51065,57681
2024-01-02 09:15:01.200,600085.SH,57.99,2600.0,-1,0,9150,4,51066,57682
2024-01-02 09:15:01.200,600085.SH,51.0,200.0,1,0,9369,4,51067,57683
