1300_1330vwap,935_940vwap,amount,direction,excutointime_13:00_vwap,excutointime_9:35_vwap,instrument,pnl_buy_935-940,pnl_buy_excutointime,pnl_sell_1300-1330,pnl_sell_excutointime,price,tradingday,tradingtime,volume
NaN,37.11396685,200386,BUY,NaN,37.10468775,000063.SZ,1.468000777,-1.032421436,NaN,NaN,37.10851852,20251215,09:39:01,5400
NaN,49.53946706,49556,BUY,NaN,49.55820921,000733.SZ,-3.337327421,0.445780615,NaN,NaN,49.556,20251215,09:39:02,1000
NaN,17.03964601,27318,BUY,NaN,17.05350508,000801.SZ,-20.01449298,-11.87141446,NaN,NaN,17.07375,20251215,09:39:01,1600
NaN,24.71203719,81552,BUY,NaN,24.71217532,000938.SZ,-0.279250564,-0.22335287,NaN,NaN,24.71272727,20251215,09:40:01,3300
NaN,45.79514357,77932,BUY,NaN,45.84950951,002025.SZ,-10.30881679,1.560882963,NaN,NaN,45.84235294,20251215,09:39:02,1700
NaN,37.2081898,22384,BUY,NaN,37.24947145,002046.SZ,-26.46644991,-15.35463805,NaN,NaN,37.30666667,20251215,09:39:01,600
NaN,76.23871908,45768,BUY,NaN,76.22491889,002049.SZ,-5.414691666,-7.226129198,NaN,NaN,76.28,20251215,09:39:01,600
NaN,18.70223749,22448,BUY,NaN,18.71354488,002104.SZ,-2.368258268,3.67552563,NaN,NaN,18.70666667,20251215,09:39:01,1200
NaN,31.33521772,113169,BUY,NaN,31.34907982,002151.SZ,-32.10943361,-27.67338428,NaN,NaN,31.43583333,20251215,09:39:01,3600
NaN,32.45856904,100610,BUY,NaN,32.45954919,002179.SZ,1.149260546,1.451184377,NaN,NaN,32.45483871,20251215,09:39:02,3100
NaN,18.15726473,7269,BUY,NaN,18.16937913,002268.SZ,-8.390730566,-1.717653198,NaN,NaN,18.1725,20251215,09:38:01,400
NaN,65.60477013,52506,BUY,NaN,65.56420115,002281.SZ,-4.226806876,-10.41709474,NaN,NaN,65.6325,20251215,09:39:01,800
NaN,53.6002759,42901,BUY,NaN,53.60105229,002338.SZ,-4.845889067,-4.700973459,NaN,NaN,53.62625,20251215,09:39:04,800
NaN,28.69266854,22951,BUY,NaN,28.69004739,002396.SZ,1.365693581,0.452208195,NaN,NaN,28.68875,20251215,09:39:01,800
NaN,8.060528915,80640,BUY,NaN,8.062957421,002405.SZ,-4.306274993,-1.293047671,NaN,NaN,8.064,20251215,09:39:29,10000
NaN,13.28049069,110543,BUY,NaN,13.30145981,002465.SZ,-28.57051712,-12.76094579,NaN,NaN,13.31843373,20251215,09:39:01,8300
NaN,32.64854163,22896,BUY,NaN,32.62632542,002544.SZ,-18.38667042,-25.20847927,NaN,NaN,32.70857143,20251215,09:39:01,700
NaN,11.08726106,31057,BUY,NaN,11.09634714,002583.SZ,-4.08095275,4.110746578,NaN,NaN,11.09178571,20251215,09:39:01,2800
NaN,43.06908101,8640,BUY,NaN,43.15516347,002881.SZ,-30.39744333,-10.38961039,NaN,NaN,43.2,20251215,09:36:01,200
