Predicted,Real,Correct,StockCode,Date,File
29.12,29.05,False,300001.SZ,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:11
66.72,66.71,False,300776.SZ,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:58
19.5,19.35,False,300432.SZ,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:79
44.78,44.6,False,688516.SH,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:94
12.13,12.1,False,688148.SH,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:111
8.7,8.6,False,300393.SZ,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:225
58.0,57.95,False,688116.SH,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:4574
45.7,45.34,False,300827.SZ,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:4620
27.15,27.23,False,688349.SH,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:4636
15.72,15.71,False,688560.SH,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:4653
68.5,68.41,False,688063.SH,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:4671
67.57,67.45,False,300842.SZ,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:4693
17.82,17.81,False,688567.SH,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:5689
183.0,182.54,False,300274.SZ,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:5760
57.6,57.55,False,688499.SH,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:5809
27.28,27.3,False,300443.SZ,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:5827
65.68,65.45,False,688348.SH,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:5843
139.0,138.0,False,688353.SH,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:5902
388.38,388.0,False,300750.SZ,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:5957
47.49,47.52,False,300693.SZ,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:5974
37.13,37.1,False,688388.SH,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:5989
32.61,32.8,False,301511.SZ,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:6068
30.89,30.85,False,688303.SH,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:6092
202.51,202.0,False,300757.SZ,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:6187
17.2,17.15,False,300568.SZ,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:6211
100.94,100.4,False,688275.SH,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:6241
85.7,85.53,False,300763.SZ,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:6256
29.39,29.38,False,300457.SZ,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:6279
57.48,57.4,False,300769.SZ,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:7744
23.8,23.85,False,688186.SH,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:7897
114.43,113.0,False,688392.SH,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:7913
48.69,48.68,False,300850.SZ,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:7936
17.96,17.93,False,300351.SZ,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:7974
34.77,34.78,False,300748.SZ,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:7994
62.59,62.58,False,301325.SZ,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:8009
26.95,26.8,False,300035.SZ,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:8053
46.33,46.35,False,688680.SH,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:8086
30.4,33.0,False,301155.SZ,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:8470
21.22,21.21,False,300077.SZ,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:8507
62.1,62.16,False,301327.SZ,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:8521
16.82,16.76,False,688707.SH,2025-11-17,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:8556
