Date,StockCode,File
2025-11-17,688518.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:162
2025-11-17,300390.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:292
2025-11-17,300390.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:293
2025-11-17,300390.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:295
2025-11-17,300390.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:296
2025-11-17,300390.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:298
2025-11-17,300390.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:299
2025-11-17,300390.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:301
2025-11-17,300390.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:302
2025-11-17,300390.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:304
2025-11-17,Unknown,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:306
2025-11-17,688005.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:8473
2025-11-17,688005.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:8474
2025-11-17,688005.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:8476
2025-11-17,688707.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-17.log:8558
2025-11-19,Unknown,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-19.log:1930
2025-12-08,300342.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-12-08.log:19616
2025-12-08,300342.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-12-08.log:19617
2025-12-08,300342.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-12-08.log:19619
2025-12-08,300342.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-12-08.log:19620
2025-12-08,300342.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-12-08.log:19622
2025-12-08,300342.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-12-08.log:19623
