Exchange,Instrument,Time,OrderNo,Price,Volume,Side
1,000488.SZ,91500000,275,34000,1200,2
1,000488.SZ,91500000,480,32100,20000,1
1,000488.SZ,91500040,1962,35200,4000,2
1,000488.SZ,91500050,2661,35600,300,2
1,000488.SZ,91500050,2843,33400,800,2
1,000488.SZ,91500050,3014,32400,10000,1
1,000488.SZ,91500050,4019,30000,2700,1
1,000488.SZ,91500050,4245,35500,100,2
1,000488.SZ,91500050,4314,34100,2400,2
1,000488.SZ,91500060,5282,35600,100,2
1,000488.SZ,91500060,5290,31600,200,1
1,000488.SZ,91500060,5681,29200,500,1
1,000488.SZ,91500060,6224,33000,35600,2
1,000488.SZ,91500060,6863,32700,2400,1
1,000488.SZ,91500060,8220,33600,1800,2
1,000488.SZ,91500070,8719,33600,1000,2
1,000488.SZ,91500070,8986,33500,1100,2
1,000488.SZ,91500070,10785,35600,7800,2
1,000488.SZ,91500070,11272,31900,3000,1
1,000488.SZ,91500070,11273,31500,3500,1
1,000488.SZ,91500070,12240,35600,9800,2
1,000488.SZ,91500070,12744,32700,84900,2
1,000488.SZ,91500070,12982,32700,84900,2
1,000488.SZ,91500070,13552,32800,1100,2
1,000488.SZ,91500070,13553,32900,1900,2
1,000488.SZ,91500070,13554,33000,1900,2
1,000488.SZ,91500070,13555,33100,3100,2
1,000488.SZ,91500070,13556,33200,3200,2
1,000488.SZ,91500070,13557,33600,3300,2
1,000488.SZ,91500070,13558,33300,3100,2
1,000488.SZ,91500070,13559,33400,1300,2
1,000488.SZ,91500070,13560,33500,3800,2
1,000488.SZ,91500070,13561,34400,5200,2
1,000488.SZ,91500070,13568,31300,13000,1
1,000488.SZ,91500070,13569,31100,11100,1
1,000488.SZ,91500070,13702,35600,100,2
1,000488.SZ,91500070,14170,35000,9100,2
1,000488.SZ,91500080,15230,32900,62200,2
1,000488.SZ,91500080,15670,32700,10000,2
1,000488.SZ,91500080,15673,33600,6100,2
1,000488.SZ,91500080,15674,33700,14200,2
1,000488.SZ,91500080,15691,33600,5000,2
1,000488.SZ,91500080,15727,34200,10000,2
1,000488.SZ,91500080,15735,35500,10000,2
1,000488.SZ,91500080,16419,30200,6000,1
1,000488.SZ,91500080,16443,32300,1300,1
1,000488.SZ,91500080,16497,35600,1000,2
1,000488.SZ,91500080,16511,35600,600,2
1,000488.SZ,91500080,17000,32400,1200,1
1,000488.SZ,91500080,17391,33100,3000,2
1,000488.SZ,91500090,17794,33300,10000,2
1,000488.SZ,91500090,18498,34000,4600,2
1,000488.SZ,91500090,18500,34500,20000,2
1,000488.SZ,91500090,19368,33900,7100,2
1,000488.SZ,91500090,19571,29200,10000,1
1,000488.SZ,91500090,19995,31800,3300,1
1,000488.SZ,91500100,20058,30000,23000,1
1,000488.SZ,91500110,23310,32900,2700,2
1,000488.SZ,91500110,23311,33100,4000,2
1,000488.SZ,91500110,23313,33300,6000,2
1,000488.SZ,91500110,24313,33500,5000,2
1,000488.SZ,91500110,24314,33600,5000,2
1,000488.SZ,91500110,24316,33700,5000,2
1,000488.SZ,91500110,24317,33800,5000,2
1,000488.SZ,91500110,24318,33900,5000,2
1,000488.SZ,91500110,24319,34000,5000,2
1,000488.SZ,91500110,24320,34100,5000,2
1,000488.SZ,91500110,24321,34200,5000,2
1,000488.SZ,91500110,24362,34300,5000,2
1,000488.SZ,91500110,24363,34400,5000,2
1,000488.SZ,91500110,24364,34500,5000,2
1,000488.SZ,91500110,24509,34400,2400,2
1,000488.SZ,91500110,25097,32000,1000,1
1,000488.SZ,91500110,25101,31800,1500,1
1,000488.SZ,91500110,25102,31600,2000,1
1,000488.SZ,91500120,26189,35500,15000,2
1,000488.SZ,91500120,26335,33600,500,2
1,000488.SZ,91500120,26410,34200,700,2
1,000488.SZ,91500120,26411,34700,1000,2
1,000488.SZ,91500120,26412,35600,1300,2
1,000488.SZ,91500120,26882,35600,25100,2
1,000488.SZ,91500120,27621,31900,4000,1
1,000488.SZ,91500120,27624,32000,4000,1
1,000488.SZ,91500120,28015,32700,500,2
1,000488.SZ,91500120,28066,34600,500,2
1,000488.SZ,91500120,28068,35600,500,2
1,000488.SZ,91500120,28442,32100,300,1
1,000488.SZ,91500120,28451,32000,20000,1
1,000488.SZ,91500120,28456,35100,1000,2
1,000488.SZ,91500120,28736,30000,3000,1
1,000488.SZ,91500130,29493,29600,300,1
1,000488.SZ,91500130,30241,32200,1000,1
1,000488.SZ,91500130,30731,35600,300,2
1,000488.SZ,91500130,30740,30000,300,1
1,000488.SZ,91500130,31326,33100,4700,2
1,000488.SZ,91500130,31362,34100,4800,2
1,000488.SZ,91500130,31676,32800,2000,2
1,000488.SZ,91500130,31863,32400,4300,1
1,000488.SZ,91500130,31888,32200,3000,2
1,000488.SZ,91500130,32282,32700,1600,2
1,000488.SZ,91500130,32380,32800,2000,2
1,000488.SZ,91500140,32860,35600,100000,2
1,000488.SZ,91500140,33584,30600,1000,1
1,000488.SZ,91500140,33813,33200,2500,2
1,000488.SZ,91500140,33856,33500,2600,2
1,000488.SZ,91500140,34100,33000,5000,2
1,000488.SZ,91500140,34101,32000,5000,1
1,000488.SZ,91500140,34164,33600,8800,2
1,000488.SZ,91500140,34165,34200,8800,2
1,000488.SZ,91500140,34166,33400,8800,2
1,000488.SZ,91500140,34313,35600,10000,2
1,000488.SZ,91500140,34535,34500,1500,2
1,000488.SZ,91500140,35504,30400,6400,1
1,000488.SZ,91500140,35616,32700,1000,2
1,000488.SZ,91500150,35933,34400,1000,2
1,000488.SZ,91500150,36518,31000,3200,1
1,000488.SZ,91500150,37969,34500,500,2
1,000488.SZ,91500150,38089,29200,20000,1
1,000488.SZ,91500150,38583,35600,500,2
1,000488.SZ,91500160,39514,35600,1000,2
1,000488.SZ,91500160,40188,31500,3000,1
1,000488.SZ,91500160,40418,31000,1100,1
1,000488.SZ,91500160,40474,35600,200,2
1,000488.SZ,91500160,40477,35000,100,2
1,000488.SZ,91500160,41502,29200,2600,2
1,000488.SZ,91500170,42791,31000,1000,1
1,000488.SZ,91500170,42905,35000,1000,2
1,000488.SZ,91500170,43203,35600,5000,2
1,000488.SZ,91500170,43351,31200,5000,1
1,000488.SZ,91500170,43648,32800,3200,2
1,000488.SZ,91500180,46275,35600,5000,2
1,000488.SZ,91500180,47876,33700,70000,2
1,000488.SZ,91500180,47920,32500,2000,2
1,000488.SZ,91500180,48389,30100,2000,1
1,000488.SZ,91500190,49221,31800,2000,1
1,000488.SZ,91500190,49349,32100,10000,1
1,000488.SZ,91500190,49475,33600,2000,2
1,000488.SZ,91500190,50394,35600,2000,2
1,000488.SZ,91500190,50828,35600,200,2
1,000488.SZ,91500190,51433,32000,10000,1
1,000488.SZ,91500200,51454,29900,9400,1
1,000488.SZ,91500200,51818,35600,5600,2
1,000488.SZ,91500200,51884,32000,10000,1
1,000488.SZ,91500200,51885,31000,10000,1
1,000488.SZ,91500200,52293,33800,1700,2
1,000488.SZ,91500200,53691,35600,200,2
1,000488.SZ,91500210,54773,33500,1000,2
1,000488.SZ,91500210,54794,33600,1000,2
1,000488.SZ,91500210,54795,33700,1000,2
1,000488.SZ,91500210,54796,33800,1000,2
1,000488.SZ,91500210,54797,33900,1000,2
1,000488.SZ,91500210,54798,34000,1000,2
1,000488.SZ,91500210,55125,34200,5800,2
1,000488.SZ,91500210,55750,35600,700,2
1,000488.SZ,91500220,56289,30000,500,1
1,000488.SZ,91500220,56953,31600,15300,1
1,000488.SZ,91500220,57000,33500,1500,2
1,000488.SZ,91500220,57001,35500,3000,2
1,000488.SZ,91500220,57069,31800,1600,1
1,000488.SZ,91500220,57693,32400,1300,1
1,000488.SZ,91500230,58576,31900,500,1
1,000488.SZ,91500230,59546,33600,2000,2
1,000488.SZ,91500230,59834,35000,200,2
1,000488.SZ,91500240,61048,33500,3000,2
1,000488.SZ,91500240,61471,35600,900,2
1,000488.SZ,91500240,61536,32400,15400,2
1,000488.SZ,91500240,61832,29200,3000,1
1,000488.SZ,91500240,61880,35600,3000,2
1,000488.SZ,91500250,62414,34500,1800,2
1,000488.SZ,91500250,62876,35600,300,2
1,000488.SZ,91500250,62956,35600,2500,2
1,000488.SZ,91500250,63713,31600,300,1
1,000488.SZ,91500250,63714,30600,400,1
1,000488.SZ,91500250,63852,33000,5000,2
1,000488.SZ,91500250,63853,32000,5000,1
1,000488.SZ,91500250,63855,33000,5000,2
1,000488.SZ,91500250,63856,32000,5000,1
1,000488.SZ,91500260,64690,33900,2000,2
1,000488.SZ,91500260,65035,32000,5000,1
1,000488.SZ,91500260,65083,33000,5000,2
1,000488.SZ,91500270,66085,35500,1000,2
1,000488.SZ,91500270,67062,33300,700,2
1,000488.SZ,91500280,67684,33000,3200,2
