Exchange,Instrument,Time,Last,BidPrice,AskPrice,BidVolume,AskVolume,Volume
1,000488.SZ,91500000,0,"[32400, 0, 0, 0, 0, 32400, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3000, 14900, 0, 0, 0, 3000, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,000488.SZ,91509000,0,"[32400, 0, 0, 0, 0, 32400, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[43300, 0, 0, 0, 0, 43300, 41650, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,000488.SZ,91554000,0,"[32400, 0, 0, 0, 0, 32400, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[43800, 0, 0, 0, 0, 43800, 41150, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,000488.SZ,91603000,0,"[32400, 0, 0, 0, 0, 32400, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[43800, 0, 0, 0, 0, 43800, 61150, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,000488.SZ,91630000,0,"[32400, 0, 0, 0, 0, 32400, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[43800, 0, 0, 0, 0, 43800, 65050, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,000488.SZ,91724000,0,"[32400, 0, 0, 0, 0, 32400, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[43800, 0, 0, 0, 0, 43800, 66650, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,000488.SZ,91742000,0,"[32400, 0, 0, 0, 0, 32400, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[33800, 0, 0, 0, 0, 33800, 76650, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,000488.SZ,91809000,0,"[32400, 0, 0, 0, 0, 32400, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[34600, 0, 0, 0, 0, 34600, 76650, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,000488.SZ,91836000,0,"[32400, 0, 0, 0, 0, 32400, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[34600, 0, 0, 0, 0, 34600, 77150, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,000488.SZ,91921000,0,"[32200, 0, 0, 0, 0, 32200, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[59800, 17300, 0, 0, 0, 59800, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,000488.SZ,91930000,0,"[32200, 0, 0, 0, 0, 32200, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[67400, 9700, 0, 0, 0, 67400, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,000488.SZ,91939000,0,"[32300, 0, 0, 0, 0, 32300, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[59300, 0, 0, 0, 0, 59300, 2500, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,000488.SZ,91948000,0,"[32300, 0, 0, 0, 0, 32300, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[59300, 0, 0, 0, 0, 59300, 3000, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,000488.SZ,92000000,0,"[32300, 0, 0, 0, 0, 32300, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[60300, 0, 0, 0, 0, 60300, 2000, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,000488.SZ,92009000,0,"[32300, 0, 0, 0, 0, 32300, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[60300, 0, 0, 0, 0, 60300, 4400, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,000488.SZ,92027000,0,"[32300, 0, 0, 0, 0, 32300, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[60300, 0, 0, 0, 0, 60300, 19700, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,000488.SZ,92054000,0,"[32300, 0, 0, 0, 0, 32300, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[60300, 0, 0, 0, 0, 60300, 20700, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,000488.SZ,92103000,0,"[32300, 0, 0, 0, 0, 32300, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[62300, 0, 0, 0, 0, 62300, 18700, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
