Exchange,Instrument,Time,Price,Volume,BuyNo,SellNo
1,000488.SZ,91501940,0,1000,25097,0
1,000488.SZ,91512880,0,100,197586,0
1,000488.SZ,91541760,0,20000,0,81927
1,000488.SZ,91612320,0,20000,0,82947
1,000488.SZ,91651820,0,48800,0,117114
1,000488.SZ,91654270,0,3600,120120,0
1,000488.SZ,91703600,0,6400,0,336847
1,000488.SZ,91737110,0,10000,277450,0
1,000488.SZ,91835030,0,20000,480,0
1,000488.SZ,91841720,0,400,372902,0
1,000488.SZ,91909630,0,1200,0,396589
1,000488.SZ,91916290,0,500,0,396615
1,000488.SZ,91923420,0,20000,28451,0
1,000488.SZ,91934970,0,9500,421872,0
1,000488.SZ,91935020,0,800,0,380455
1,000488.SZ,91937250,0,30000,0,418999
1,000488.SZ,91940380,0,20000,0,81926
1,000488.SZ,92500000,32000,700,382027,41502
1,000488.SZ,92500000,32000,100,383213,41502
1,000488.SZ,92500000,32000,1400,639167,41502
1,000488.SZ,92500000,32000,400,623844,41502
1,000488.SZ,92500000,32000,1000,623844,150971
1,000488.SZ,92500000,32000,1200,624875,268911
1,000488.SZ,92500000,32000,4000,624875,294209
1,000488.SZ,92500000,32000,500,624875,431025
1,000488.SZ,92500000,32000,400,624875,640070
1,000488.SZ,92500000,32000,1300,624875,185345
1,000488.SZ,92500000,32000,2800,624875,422958
1,000488.SZ,92500000,32000,4800,624875,423491
1,000488.SZ,92500000,32000,3100,624875,568188
1,000488.SZ,92500000,32000,2400,6863,568188
1,000488.SZ,92500000,32000,100,81738,568188
1,000488.SZ,92500000,32000,100,166465,568188
1,000488.SZ,92500000,32000,100,214281,568188
1,000488.SZ,92500000,32000,100,214281,629942
1,000488.SZ,92500000,32000,200,214281,594782
1,000488.SZ,92500000,32000,10000,3014,594782
1,000488.SZ,92500000,32000,1200,17000,594782
1,000488.SZ,92500000,32000,4300,31863,594782
1,000488.SZ,92500000,32000,1300,57693,594782
1,000488.SZ,92500000,32000,300,129505,594782
1,000488.SZ,92500000,32000,1000,211973,594782
1,000488.SZ,92500000,32000,100,254446,594782
1,000488.SZ,92500000,32000,11100,281316,594782
1,000488.SZ,92500000,32000,1000,299237,594782
1,000488.SZ,92500000,32000,500,327741,594782
1,000488.SZ,92500000,32000,1000,441156,594782
1,000488.SZ,92500000,32000,2000,566653,594782
1,000488.SZ,92500000,32000,1300,16443,594782
1,000488.SZ,92500000,32000,5000,119192,594782
1,000488.SZ,92500000,32000,100,149504,594782
1,000488.SZ,92500000,32000,4800,204241,594782
1,000488.SZ,92500000,32000,10000,261309,594782
1,000488.SZ,92500000,32000,1900,303263,594782
1,000488.SZ,92500000,32000,1600,313769,594782
1,000488.SZ,92500000,32000,2000,466075,594782
1,000488.SZ,92500000,32000,2000,518752,594782
1,000488.SZ,92500000,32000,1000,537436,594782
1,000488.SZ,92500000,32000,1000,30241,594782
1,000488.SZ,92500000,32000,1000,102206,594782
1,000488.SZ,92500000,32000,3100,110794,594782
1,000488.SZ,92500000,32000,100,149505,594782
1,000488.SZ,92500000,32000,300,176518,594782
1,000488.SZ,92500000,32000,10000,235567,594782
1,000488.SZ,92500000,32000,1000,259572,594782
1,000488.SZ,92500000,32000,1100,270802,594782
1,000488.SZ,92500000,32000,100,328343,594782
1,000488.SZ,92500000,32000,100,329328,594782
1,000488.SZ,92500000,32000,30000,426548,594782
1,000488.SZ,92500000,32000,2000,466800,594782
1,000488.SZ,92500000,32000,2000,469094,594782
1,000488.SZ,92500000,32000,1000,510665,594782
1,000488.SZ,92500000,32000,4700,514655,594782
1,000488.SZ,92500000,32000,200,567821,594782
1,000488.SZ,92500000,32000,400,594641,594782
1,000488.SZ,92500000,32000,10000,603934,594782
1,000488.SZ,92500000,32000,300,28442,594782
1,000488.SZ,92500000,32000,10000,49349,594782
1,000488.SZ,92500000,32000,1500,69429,594782
1,000488.SZ,92500000,32000,5000,106672,594782
1,000488.SZ,92500000,32000,100,149506,594782
1,000488.SZ,92500000,32000,1000,151679,594782
1,000488.SZ,92500000,32000,4000,172488,594782
1,000488.SZ,92500000,32000,700,183233,594782
1,000488.SZ,92500000,32000,1000,202624,594782
1,000488.SZ,92500000,32000,1800,227249,594782
1,000488.SZ,92500000,32000,500,233922,594782
1,000488.SZ,92500000,32000,200,259751,594782
1,000488.SZ,92500000,32000,17000,259795,594782
1,000488.SZ,92500000,32000,8200,263357,594782
1,000488.SZ,92500000,32000,700,267577,594782
1,000488.SZ,92500000,32000,15800,288501,594782
1,000488.SZ,92500000,32000,100,288501,603338
1,000488.SZ,92500000,32000,4100,288501,619023
1,000488.SZ,92500000,32000,1000,317761,619023
1,000488.SZ,92500000,32000,2000,357029,619023
1,000488.SZ,92500000,32000,1000,377698,619023
1,000488.SZ,92500000,32000,8400,404348,619023
1,000488.SZ,92500000,32000,3000,429605,619023
1,000488.SZ,92500000,32000,6000,518890,619023
1,000488.SZ,92500000,32000,2000,572898,619023
1,000488.SZ,92500000,32000,1100,612818,619023
1,000488.SZ,92500000,32000,2500,625128,619023
1,000488.SZ,92500000,32000,4000,27624,619023
1,000488.SZ,92500000,32000,5000,34101,619023
1,000488.SZ,92500000,32000,7400,51433,619023
1,000488.SZ,92500000,32000,200,51433,626224
1,000488.SZ,92500000,32000,100,51433,442451
1,000488.SZ,92500000,32000,100,51433,558462
1,000488.SZ,92500000,32000,2200,51433,594794
1,000488.SZ,92500000,32000,10000,51884,594794
1,000488.SZ,92500000,32000,5000,63853,594794
1,000488.SZ,92500000,32000,5000,63856,594794
1,000488.SZ,92500000,32000,5000,65035,594794
1,000488.SZ,92500000,32000,5000,106673,594794
1,000488.SZ,92500000,32000,700,111574,594794
1,000488.SZ,92500000,32000,3000,118102,594794
1,000488.SZ,92500000,32000,500,121738,594794
1,000488.SZ,92500000,32000,900,122123,594794
1,000488.SZ,92500000,32000,100,123070,594794
1,000488.SZ,92500000,32000,2600,134023,594794
1,000488.SZ,92500000,32000,100,134023,626328
1,000488.SZ,92500000,32000,4300,134023,631227
1,000488.SZ,92500000,32000,100,134023,631244
1,000488.SZ,92500000,32000,800,134023,461443
1,000488.SZ,92500000,32000,200,144418,461443
1,000488.SZ,92500000,32000,3000,144418,644625
1,000488.SZ,92500000,32000,9100,144418,494076
1,000488.SZ,92500000,32000,400,144418,567393
1,000488.SZ,92500000,32000,600,144418,575514
1,000488.SZ,93000040,0,5600,326201,0
1,000488.SZ,93000040,0,3200,0,532481
1,000488.SZ,93000040,0,10000,0,451948
1,000488.SZ,93000050,0,84900,0,12982
1,000488.SZ,93000050,32000,36700,144418,780054
1,000488.SZ,93000050,32000,100,149507,780054
1,000488.SZ,93000050,32000,1000,156265,780054
1,000488.SZ,93000050,32000,20000,164017,780054
1,000488.SZ,93000050,32000,100,167820,780054
1,000488.SZ,93000050,32000,100,169467,780054
1,000488.SZ,93000050,32000,1000,212251,780054
1,000488.SZ,93000050,32000,5000,221537,780054
1,000488.SZ,93000050,32000,5000,228544,780054
1,000488.SZ,93000050,32000,500,233927,780054
1,000488.SZ,93000050,32000,3200,242944,780054
1,000488.SZ,93000050,32000,13400,254079,780054
1,000488.SZ,93000050,32000,1000,257544,780054
1,000488.SZ,93000050,32000,3000,260392,780054
1,000488.SZ,93000050,32000,2000,260625,780054
1,000488.SZ,93000050,32000,2000,265679,780054
1,000488.SZ,93000050,32000,5000,269323,780054
1,000488.SZ,93000050,32000,700,269819,780054
1,000488.SZ,93000050,32000,500,271746,780054
1,000488.SZ,93000050,32000,300,275721,780054
1,000488.SZ,93000050,32000,7000,299830,780054
1,000488.SZ,93000050,32000,1000,300654,780054
1,000488.SZ,93000050,32000,1000,316596,780054
1,000488.SZ,93000050,32000,10000,323388,780054
1,000488.SZ,93000050,32000,100,328036,780054
1,000488.SZ,93000050,32000,1400,335960,780054
1,000488.SZ,93000050,32000,7900,340238,780054
1,000488.SZ,93000050,32000,500,345111,780054
1,000488.SZ,93000050,32000,5000,357646,780054
1,000488.SZ,93000050,32000,10000,435564,780054
1,000488.SZ,93000050,32000,9500,447281,780054
1,000488.SZ,93000050,32000,200,481025,780054
1,000488.SZ,93000050,32000,2000,492123,780054
1,000488.SZ,93000050,32000,600,561596,780054
1,000488.SZ,93000050,32000,1000,562031,780054
1,000488.SZ,93000050,32000,700,603239,780054
1,000488.SZ,93000050,32000,3100,611885,780054
1,000488.SZ,93000050,32000,500,618915,780054
1,000488.SZ,93000050,32000,1000,644589,780054
1,000488.SZ,93000050,0,84900,0,12744
1,000488.SZ,93000050,32000,100000,780937,780054
1,000488.SZ,93000050,32000,1000,781602,780054
1,000488.SZ,93000060,32000,5000,787272,780054
1,000488.SZ,93000070,32000,1800,793629,780054
1,000488.SZ,93000080,32000,2000,794481,780054
1,000488.SZ,93000080,0,500,0,327740
1,000488.SZ,93000080,0,62200,0,15230
1,000488.SZ,93000090,0,1000,0,317760
1,000488.SZ,93000090,0,1200,0,202088
1,000488.SZ,93000090,32000,300,803234,780054
1,000488.SZ,93000100,32000,300,808458,780054
1,000488.SZ,93000110,32000,1700,814155,780054
1,000488.SZ,93000110,32000,20000,814376,780054
1,000488.SZ,93000120,32000,200,824803,780054
1,000488.SZ,93000130,0,1100,0,583069
1,000488.SZ,93000130,32000,2000,829220,780054
1,000488.SZ,93000130,32000,1500,831577,780054
1,000488.SZ,93000140,0,1000,198827,0
1,000488.SZ,93000140,0,2300,0,445060
1,000488.SZ,93000150,32000,10000,839994,780054
1,000488.SZ,93000150,31900,3000,11272,841929
1,000488.SZ,93000150,31900,4000,27621,841929
1,000488.SZ,93000150,31900,500,58576,841929
1,000488.SZ,93000150,31900,5000,106674,841929
1,000488.SZ,93000150,31900,2000,112130,841929
1,000488.SZ,93000150,31900,100,149508,841929
1,000488.SZ,93000150,31900,600,227669,841929
1,000488.SZ,93000150,31900,500,233929,841929
1,000488.SZ,93000150,31900,14300,288499,841929
1,000488.SZ,93000150,32000,3000,845608,780054
1,000488.SZ,93000160,32000,3600,846394,780054
1,000488.SZ,93000160,0,1500,25101,0
1,000488.SZ,93000160,0,3000,495058,0
1,000488.SZ,93000160,32000,1000,851567,780054
1,000488.SZ,93000170,0,100,0,328335
1,000488.SZ,93000170,32000,5000,854794,780054
1,000488.SZ,93000170,32000,100,856530,780054
1,000488.SZ,93000180,0,2600,0,33856
1,000488.SZ,93000180,32000,500,860984,780054
1,000488.SZ,93000210,0,1000,0,444272
1,000488.SZ,93000220,32000,1000,878963,780054
1,000488.SZ,93000220,32000,500,879071,780054
1,000488.SZ,93000220,32000,200,881382,780054
1,000488.SZ,93000230,32000,100,886030,780054
1,000488.SZ,93000250,32000,1000,893976,780054
1,000488.SZ,93000250,32000,4000,894690,780054
1,000488.SZ,93000270,31900,5700,288499,900582
1,000488.SZ,93000270,31900,100,293287,900582
1,000488.SZ,93000270,31900,500,304645,900582
1,000488.SZ,93000270,31900,600,450565,900582
1,000488.SZ,93000270,31900,1000,484672,900582
1,000488.SZ,93000270,31900,5400,487826,900582
1,000488.SZ,93000270,31900,3200,507539,900582
1,000488.SZ,93000270,31900,1900,543301,900582
1,000488.SZ,93000300,32000,1000,910149,780054
1,000488.SZ,93000320,0,2000,0,488535
1,000488.SZ,93000330,0,1700,0,141585
1,000488.SZ,93000330,0,100,0,515861
1,000488.SZ,93000330,32000,1600,920549,780054
1,000488.SZ,93000340,32000,4800,921434,780054
1,000488.SZ,93000370,32000,100,930058,780054
1,000488.SZ,93000390,0,1200,0,446658
1,000488.SZ,93000400,32000,100,939415,780054
1,000488.SZ,93000440,32000,3000,948215,780054
1,000488.SZ,93000460,32000,300,951784,780054
1,000488.SZ,93000480,32000,1000,954051,780054
1,000488.SZ,93000490,0,149200,0,780054
1,000488.SZ,93000490,32000,1000,957851,787018
1,000488.SZ,93000500,32000,3900,958783,787018
1,000488.SZ,93000510,32000,5000,960610,787018
1,000488.SZ,93000510,32000,1000,961024,787018
1,000488.SZ,93000510,32000,900,961105,787018
1,000488.SZ,93000550,32000,7900,969477,787018
1,000488.SZ,93000560,32000,200,972384,787018
1,000488.SZ,93000590,32000,1000,978451,787018
1,000488.SZ,93000650,32000,5000,988743,787018
1,000488.SZ,93000660,0,2300,441535,0
1,000488.SZ,93000740,32000,1000,1005122,787018
1,000488.SZ,93000750,32000,23100,1006514,787018
1,000488.SZ,93000750,32000,18400,1006514,800158
1,000488.SZ,93000750,32000,1500,1006514,803854
1,000488.SZ,93000750,32000,6200,1006514,818126
1,000488.SZ,93000750,32000,4900,1006514,818180
1,000488.SZ,93000750,32000,4200,1006514,818186
1,000488.SZ,93000750,32000,3700,1006514,818208
1,000488.SZ,93000750,32000,7800,1006514,818224
1,000488.SZ,93000750,32000,5100,1006514,818226
1,000488.SZ,93000750,32000,4300,1006514,818353
1,000488.SZ,93000750,32000,4800,1006514,818354
1,000488.SZ,93000750,32000,5100,1006514,818406
1,000488.SZ,93000750,32000,2700,1006514,818522
1,000488.SZ,93000750,32000,6500,1006514,819725
1,000488.SZ,93000750,32000,8400,1006514,819727
1,000488.SZ,93000750,32000,1700,1006514,820085
1,000488.SZ,93000750,32000,400,1006514,820381
1,000488.SZ,93000750,32000,30000,1006514,837442
1,000488.SZ,93000750,32000,42200,1006514,843552
1,000488.SZ,93000750,32000,10000,1006514,925125
1,000488.SZ,93000750,32000,1000,1006514,934932
1,000488.SZ,93000750,32000,400,1006514,936929
1,000488.SZ,93000750,32000,10000,1006514,939548
1,000488.SZ,93000750,32000,900,1006514,952003
1,000488.SZ,93000750,32000,300,1006514,954530
1,000488.SZ,93000750,32000,2900,1006514,956814
1,000488.SZ,93000750,32000,100,1006514,985462
1,000488.SZ,93000760,0,1300,536762,0
1,000488.SZ,93000770,32100,5900,1009413,572922
1,000488.SZ,93000770,32100,8800,1009413,597446
1,000488.SZ,93000770,32100,5300,1009413,793696
1,000488.SZ,93000780,32000,3000,1006514,1010944
1,000488.SZ,93000780,32000,6000,1006514,1012511
1,000488.SZ,93000820,32000,700,1006514,1018486
1,000488.SZ,93000830,32100,4700,1019519,793696
1,000488.SZ,93000830,32100,300,1019519,799060
1,000488.SZ,93000880,32100,500,1026141,799060
1,000488.SZ,93000880,0,2000,0,47920
1,000488.SZ,93000970,32000,52800,1006514,1043094
1,000488.SZ,93000970,32000,107200,1010037,1043094
1,000488.SZ,93001000,32000,500,1010037,1045997
1,000488.SZ,93001010,32100,500,1048308,799060
