order_id,direction,volume,price,delta_position,match_time
PASSIVE_1008,B,0,16.73,2400,2024-01-02 09:39:09.000
PASSIVE_1013,B,0,16.77,3600,2024-01-02 09:43:09.000
PASSIVE_1014,B,0,16.78,3900,2024-01-02 09:44:09.000
PASSIVE_1016,B,0,16.8,4200,2024-01-02 09:45:09.000
PASSIVE_1025,B,0,16.79,6300,2024-01-02 09:52:09.000
PASSIVE_1029,B,0,16.82,7200,2024-01-02 09:55:12.000
PASSIVE_1037,B,0,16.81,9300,2024-01-02 10:02:09.000
PASSIVE_1038,B,0,16.82,9600,2024-01-02 10:03:09.000
PASSIVE_1040,B,0,16.83,9900,2024-01-02 10:04:12.000
PASSIVE_1042,B,0,16.83,10200,2024-01-02 10:05:12.000
PASSIVE_1044,B,0,16.84,10500,2024-01-02 10:06:09.000
PASSIVE_1046,B,0,16.85,10800,2024-01-02 10:07:09.000
PASSIVE_1048,B,0,16.86,11100,2024-01-02 10:08:09.000
PASSIVE_1052,B,0,16.86,11700,2024-01-02 10:10:09.000
PASSIVE_1057,B,0,16.89,12900,2024-01-02 10:14:09.000
PASSIVE_1058,B,0,16.89,13200,2024-01-02 10:15:09.000
PASSIVE_1062,B,0,16.95,13800,2024-01-02 10:17:09.000
PASSIVE_1063,B,0,16.95,14400,2024-01-02 10:18:09.000
PASSIVE_1068,B,0,16.95,15300,2024-01-02 10:21:09.000
PASSIVE_1073,B,0,16.95,16200,2024-01-02 10:25:09.000
PASSIVE_1080,B,0,16.96,18000,2024-01-02 10:31:09.000
PASSIVE_1081,B,0,16.97,18300,2024-01-02 10:32:09.000
PASSIVE_1083,B,0,16.99,18600,2024-01-02 10:33:09.000
PASSIVE_1089,B,0,17.03,19800,2024-01-02 10:37:09.000
PASSIVE_1090,B,0,17.04,20100,2024-01-02 10:38:09.000
PASSIVE_1092,B,0,17.07,20400,2024-01-02 10:39:09.000
PASSIVE_1094,B,0,17.08,20700,2024-01-02 10:40:09.000
PASSIVE_1100,B,0,17.04,21900,2024-01-02 10:44:09.000
PASSIVE_1110,B,0,17.0,24600,2024-01-02 10:53:09.000
PASSIVE_1117,B,0,16.93,26400,2024-01-02 10:59:09.000
PASSIVE_1121,B,0,16.92,27300,2024-01-02 11:02:09.000
