order_id,order_time,exchange,exchange_name,direction,direction_name,volume,price,ask1,bid1,delta_position
PASSIVE_1000,2024-01-02 09:30:09.000,0,上海,1,买入,300,16.74,16.75,16.74,0
PASSIVE_1001,2024-01-02 09:31:09.000,0,上海,1,买入,300,16.65,16.67,16.65,300
PASSIVE_1002,2024-01-02 09:32:09.000,0,上海,1,买入,300,16.65,16.66,16.65,600
PASSIVE_1003,2024-01-02 09:33:09.000,0,上海,1,买入,300,16.65,16.66,16.65,900
PASSIVE_1004,2024-01-02 09:34:09.000,0,上海,1,买入,300,16.66,16.67,16.66,1200
PASSIVE_1005,2024-01-02 09:35:09.000,0,上海,1,买入,300,16.64,16.65,16.64,1500
PASSIVE_1006,2024-01-02 09:36:09.000,0,上海,1,买入,300,16.68,16.69,16.68,1800
PASSIVE_1007,2024-01-02 09:37:09.000,0,上海,1,买入,300,16.72,16.74,16.72,2100
PASSIVE_1008,2024-01-02 09:38:09.000,0,上海,1,买入,300,16.73,16.74,16.73,2400
PASSIVE_1009,2024-01-02 09:39:09.000,0,上海,1,买入,300,16.77,16.78,16.77,2400
PASSIVE_MKT_1010,2024-01-02 09:39:09.000,0,上海,1,买入,300,16.78,16.78,16.77,2400
PASSIVE_1011,2024-01-02 09:40:09.000,0,上海,1,买入,300,16.76,16.77,16.76,3000
PASSIVE_1012,2024-01-02 09:41:09.000,0,上海,1,买入,300,16.78,16.79,16.78,3300
PASSIVE_1013,2024-01-02 09:42:09.000,0,上海,1,买入,300,16.77,16.79,16.77,3600
PASSIVE_1014,2024-01-02 09:43:09.000,0,上海,1,买入,300,16.78,16.79,16.78,3600
PASSIVE_MKT_1015,2024-01-02 09:43:09.000,0,上海,1,买入,300,16.79,16.79,16.78,3600
PASSIVE_1016,2024-01-02 09:44:09.000,0,上海,1,买入,300,16.8,16.81,16.8,3900
PASSIVE_MKT_1017,2024-01-02 09:44:09.000,0,上海,1,买入,300,16.81,16.81,16.8,3900
PASSIVE_1018,2024-01-02 09:45:09.000,0,上海,1,买入,300,16.82,16.83,16.82,4200
PASSIVE_MKT_1019,2024-01-02 09:45:09.000,0,上海,1,买入,300,16.83,16.83,16.82,4200
PASSIVE_1020,2024-01-02 09:46:09.000,0,上海,1,买入,300,16.82,16.83,16.82,4800
PASSIVE_1021,2024-01-02 09:47:09.000,0,上海,1,买入,300,16.82,16.83,16.82,5100
PASSIVE_1022,2024-01-02 09:48:09.000,0,上海,1,买入,300,16.82,16.83,16.82,5400
PASSIVE_1023,2024-01-02 09:49:09.000,0,上海,1,买入,300,16.79,16.8,16.79,5700
PASSIVE_1024,2024-01-02 09:50:09.000,0,上海,1,买入,300,16.79,16.8,16.79,6000
PASSIVE_1025,2024-01-02 09:51:09.000,0,上海,1,买入,300,16.79,16.8,16.79,6300
PASSIVE_1026,2024-01-02 09:52:09.000,0,上海,1,买入,300,16.81,16.82,16.81,6300
PASSIVE_MKT_1027,2024-01-02 09:52:09.000,0,上海,1,买入,300,16.82,16.82,16.81,6300
PASSIVE_1028,2024-01-02 09:53:09.000,0,上海,1,买入,300,16.81,16.82,16.81,6900
PASSIVE_1029,2024-01-02 09:54:12.000,0,上海,1,买入,300,16.82,16.83,16.82,7200
PASSIVE_1030,2024-01-02 09:55:09.000,0,上海,1,买入,300,16.84,16.85,16.84,7200
PASSIVE_MKT_1031,2024-01-02 09:55:12.000,0,上海,1,买入,300,16.85,16.85,16.84,7200
PASSIVE_1032,2024-01-02 09:56:09.000,0,上海,1,买入,300,16.84,16.85,16.84,7800
PASSIVE_1033,2024-01-02 09:57:09.000,0,上海,1,买入,300,16.83,16.84,16.83,8100
PASSIVE_1034,2024-01-02 09:58:09.000,0,上海,1,买入,300,16.83,16.84,16.83,8400
PASSIVE_1035,2024-01-02 09:59:09.000,0,上海,1,买入,300,16.83,16.84,16.83,8700
PASSIVE_1036,2024-01-02 10:00:09.000,0,上海,1,买入,300,16.81,16.82,16.81,9000
PASSIVE_1037,2024-01-02 10:01:09.000,0,上海,1,买入,300,16.81,16.82,16.81,9300
PASSIVE_1038,2024-01-02 10:02:09.000,0,上海,1,买入,300,16.82,16.83,16.82,9300
PASSIVE_MKT_1039,2024-01-02 10:02:09.000,0,上海,1,买入,300,16.83,16.83,16.82,9300
PASSIVE_1040,2024-01-02 10:03:09.000,0,上海,1,买入,300,16.83,16.84,16.83,9600
PASSIVE_MKT_1041,2024-01-02 10:03:09.000,0,上海,1,买入,300,16.84,16.84,16.83,9600
PASSIVE_1042,2024-01-02 10:04:12.000,0,上海,1,买入,300,16.83,16.84,16.83,9900
PASSIVE_MKT_1043,2024-01-02 10:04:12.000,0,上海,1,买入,300,16.84,16.84,16.83,9900
PASSIVE_1044,2024-01-02 10:05:09.000,0,上海,1,买入,300,16.84,16.85,16.84,10200
PASSIVE_MKT_1045,2024-01-02 10:05:12.000,0,上海,1,买入,300,16.85,16.85,16.84,10200
PASSIVE_1046,2024-01-02 10:06:09.000,0,上海,1,买入,300,16.85,16.86,16.85,10500
PASSIVE_MKT_1047,2024-01-02 10:06:09.000,0,上海,1,买入,300,16.86,16.86,16.85,10500
PASSIVE_1048,2024-01-02 10:07:09.000,0,上海,1,买入,300,16.86,16.87,16.86,10800
PASSIVE_MKT_1049,2024-01-02 10:07:09.000,0,上海,1,买入,300,16.87,16.87,16.86,10800
PASSIVE_1050,2024-01-02 10:08:09.000,0,上海,1,买入,300,16.86,16.87,16.86,11100
PASSIVE_MKT_1051,2024-01-02 10:08:09.000,0,上海,1,买入,300,16.87,16.87,16.86,11100
PASSIVE_1052,2024-01-02 10:09:09.000,0,上海,1,买入,300,16.86,16.87,16.86,11700
PASSIVE_1053,2024-01-02 10:10:09.000,0,上海,1,买入,300,16.89,16.9,16.89,11700
PASSIVE_MKT_1054,2024-01-02 10:10:09.000,0,上海,1,买入,300,16.9,16.9,16.89,11700
PASSIVE_1055,2024-01-02 10:11:09.000,0,上海,1,买入,300,16.89,16.9,16.89,12300
PASSIVE_1056,2024-01-02 10:12:09.000,0,上海,1,买入,300,16.89,16.9,16.89,12600
PASSIVE_1057,2024-01-02 10:13:09.000,0,上海,1,买入,300,16.89,16.9,16.89,12900
PASSIVE_1058,2024-01-02 10:14:09.000,0,上海,1,买入,300,16.89,16.9,16.89,12900
PASSIVE_MKT_1059,2024-01-02 10:14:09.000,0,上海,1,买入,300,16.9,16.9,16.89,12900
PASSIVE_1060,2024-01-02 10:15:09.000,0,上海,1,买入,300,16.94,16.95,16.94,13200
PASSIVE_MKT_1061,2024-01-02 10:15:09.000,0,上海,1,买入,300,16.95,16.95,16.94,13200
PASSIVE_1062,2024-01-02 10:16:09.000,0,上海,1,买入,300,16.95,16.96,16.95,13800
PASSIVE_1063,2024-01-02 10:17:09.000,0,上海,1,买入,300,16.95,16.97,16.96,13800
PASSIVE_MKT_1064,2024-01-02 10:17:09.000,0,上海,1,买入,300,16.96,16.97,16.96,13800
PASSIVE_1065,2024-01-02 10:18:09.000,0,上海,1,买入,300,16.95,16.95,16.94,14100
PASSIVE_MKT_1066,2024-01-02 10:18:09.000,0,上海,1,买入,300,16.96,16.95,16.94,14400
PASSIVE_1067,2024-01-02 10:19:09.000,0,上海,1,买入,300,16.95,16.95,16.94,14700
PASSIVE_1068,2024-01-02 10:20:09.000,0,上海,1,买入,300,16.95,16.96,16.94,15000
PASSIVE_1069,2024-01-02 10:21:09.000,0,上海,1,买入,300,16.95,16.95,16.94,15000
PASSIVE_MKT_1070,2024-01-02 10:21:09.000,0,上海,1,买入,300,16.96,16.95,16.94,15300
PASSIVE_1071,2024-01-02 10:22:09.000,0,上海,1,买入,300,16.95,16.95,16.94,15600
PASSIVE_1072,2024-01-02 10:23:09.000,0,上海,1,买入,300,16.95,16.95,16.94,15900
