stock_code,trade_date,order_time,direction,volume,passive_price,passive_filled,market_price,final_price,final_amount,execution_type,latency_ms,trade_time
601607.SH,2024-01-02,2024-01-02 09:30:09,买入,300,16.74,True,,16.74,5021.999999999999,PASSIVE,2060.0,2024-01-02 09:30:11.060
601607.SH,2024-01-02,2024-01-02 09:31:09,买入,300,16.65,True,,16.65,4995.0,PASSIVE,2330.0,2024-01-02 09:31:11.330
601607.SH,2024-01-02,2024-01-02 09:32:09,买入,300,16.65,True,,16.65,4995.0,PASSIVE,13790.0,2024-01-02 09:32:22.790
601607.SH,2024-01-02,2024-01-02 09:33:09,买入,300,16.65,True,,16.65,4995.0,PASSIVE,13570.0,2024-01-02 09:33:22.570
601607.SH,2024-01-02,2024-01-02 09:34:09,买入,300,16.66,True,,16.66,4998.0,PASSIVE,11710.0,2024-01-02 09:34:20.710
601607.SH,2024-01-02,2024-01-02 09:35:09,买入,300,16.64,True,,16.64,4992.0,PASSIVE,6320.0,2024-01-02 09:35:15.320
601607.SH,2024-01-02,2024-01-02 09:36:09,买入,300,16.68,True,,16.68,5004.0,PASSIVE,6540.0,2024-01-02 09:36:15.540
601607.SH,2024-01-02,2024-01-02 09:37:09,买入,300,16.72,True,,16.72,5016.0,PASSIVE,4110.0,2024-01-02 09:37:13.110
601607.SH,2024-01-02,2024-01-02 09:38:09,买入,300,16.73,False,16.78,16.78,5034.0,MARKET,0.0,2024-01-02 09:39:09.000
601607.SH,2024-01-02,2024-01-02 09:39:09,买入,300,16.77,True,,16.77,5031.0,PASSIVE,7130.0,2024-01-02 09:39:16.130
601607.SH,2024-01-02,2024-01-02 09:40:09,买入,300,16.76,True,,16.76,5028.000000000001,PASSIVE,3230.0,2024-01-02 09:40:12.230
601607.SH,2024-01-02,2024-01-02 09:41:09,买入,300,16.78,True,,16.78,5034.0,PASSIVE,52160.0,2024-01-02 09:42:01.160
601607.SH,2024-01-02,2024-01-02 09:42:09,买入,300,16.77,False,16.79,16.79,5037.0,MARKET,0.0,2024-01-02 09:43:09.000
601607.SH,2024-01-02,2024-01-02 09:43:09,买入,300,16.78,False,16.81,16.81,5043.0,MARKET,0.0,2024-01-02 09:44:09.000
601607.SH,2024-01-02,2024-01-02 09:44:09,买入,300,16.8,False,16.83,16.83,5048.999999999999,MARKET,0.0,2024-01-02 09:45:09.000
601607.SH,2024-01-02,2024-01-02 09:45:09,买入,300,16.82,True,,16.82,5046.0,PASSIVE,9750.0,2024-01-02 09:45:18.750
601607.SH,2024-01-02,2024-01-02 09:46:09,买入,300,16.82,True,,16.82,5046.0,PASSIVE,16219.999999999998,2024-01-02 09:46:25.220
601607.SH,2024-01-02,2024-01-02 09:47:09,买入,300,16.82,True,,16.82,5046.0,PASSIVE,11690.0,2024-01-02 09:47:20.690
601607.SH,2024-01-02,2024-01-02 09:48:09,买入,300,16.82,True,,16.82,5046.0,PASSIVE,16440.0,2024-01-02 09:48:25.440
601607.SH,2024-01-02,2024-01-02 09:49:09,买入,300,16.79,True,,16.79,5037.0,PASSIVE,840.0,2024-01-02 09:49:09.840
601607.SH,2024-01-02,2024-01-02 09:50:09,买入,300,16.79,True,,16.79,5037.0,PASSIVE,2180.0,2024-01-02 09:50:11.180
601607.SH,2024-01-02,2024-01-02 09:51:09,买入,300,16.79,False,16.82,16.82,5046.0,MARKET,0.0,2024-01-02 09:52:09.000
601607.SH,2024-01-02,2024-01-02 09:52:09,买入,300,16.81,True,,16.81,5043.0,PASSIVE,52180.0,2024-01-02 09:53:01.180
601607.SH,2024-01-02,2024-01-02 09:53:09,买入,300,16.81,True,,16.81,5043.0,PASSIVE,1930.0,2024-01-02 09:53:10.930
601607.SH,2024-01-02,2024-01-02 09:54:12,买入,300,16.82,False,16.85,16.85,5055.0,MARKET,0.0,2024-01-02 09:55:12.000
601607.SH,2024-01-02,2024-01-02 09:55:09,买入,300,16.84,True,,16.84,5052.0,PASSIVE,28940.0,2024-01-02 09:55:37.940
601607.SH,2024-01-02,2024-01-02 09:56:09,买入,300,16.84,True,,16.84,5052.0,PASSIVE,22160.0,2024-01-02 09:56:31.160
601607.SH,2024-01-02,2024-01-02 09:57:09,买入,300,16.83,True,,16.83,5048.999999999999,PASSIVE,43840.0,2024-01-02 09:57:52.840
601607.SH,2024-01-02,2024-01-02 09:58:09,买入,300,16.83,True,,16.83,5048.999999999999,PASSIVE,57540.0,2024-01-02 09:59:06.540
601607.SH,2024-01-02,2024-01-02 09:59:09,买入,300,16.83,True,,16.83,5048.999999999999,PASSIVE,2630.0,2024-01-02 09:59:11.630
601607.SH,2024-01-02,2024-01-02 10:00:09,买入,300,16.81,True,,16.81,5043.0,PASSIVE,21370.0,2024-01-02 10:00:30.370
601607.SH,2024-01-02,2024-01-02 10:01:09,买入,300,16.81,False,16.83,16.83,5048.999999999999,MARKET,0.0,2024-01-02 10:02:09.000
601607.SH,2024-01-02,2024-01-02 10:02:09,买入,300,16.82,False,16.84,16.84,5052.0,MARKET,0.0,2024-01-02 10:03:09.000
601607.SH,2024-01-02,2024-01-02 10:03:09,买入,300,16.83,False,16.84,16.84,5052.0,MARKET,0.0,2024-01-02 10:04:12.000
601607.SH,2024-01-02,2024-01-02 10:04:12,买入,300,16.83,False,16.85,16.85,5055.0,MARKET,0.0,2024-01-02 10:05:12.000
601607.SH,2024-01-02,2024-01-02 10:05:09,买入,300,16.84,False,16.86,16.86,5058.0,MARKET,0.0,2024-01-02 10:06:09.000
601607.SH,2024-01-02,2024-01-02 10:06:09,买入,300,16.85,False,16.87,16.87,5061.0,MARKET,0.0,2024-01-02 10:07:09.000
601607.SH,2024-01-02,2024-01-02 10:07:09,买入,300,16.86,False,16.87,16.87,5061.0,MARKET,0.0,2024-01-02 10:08:09.000
601607.SH,2024-01-02,2024-01-02 10:08:09,买入,300,16.86,True,,16.86,5058.0,PASSIVE,25560.0,2024-01-02 10:08:34.560
601607.SH,2024-01-02,2024-01-02 10:09:09,买入,300,16.86,False,16.9,16.9,5070.0,MARKET,0.0,2024-01-02 10:10:09.000
601607.SH,2024-01-02,2024-01-02 10:10:09,买入,300,16.89,True,,16.89,5067.0,PASSIVE,57660.0,2024-01-02 10:11:06.660
601607.SH,2024-01-02,2024-01-02 10:11:09,买入,300,16.89,True,,16.89,5067.0,PASSIVE,34680.0,2024-01-02 10:11:43.680
601607.SH,2024-01-02,2024-01-02 10:12:09,买入,300,16.89,True,,16.89,5067.0,PASSIVE,48140.0,2024-01-02 10:12:57.140
601607.SH,2024-01-02,2024-01-02 10:13:09,买入,300,16.89,False,16.9,16.9,5070.0,MARKET,0.0,2024-01-02 10:14:09.000
601607.SH,2024-01-02,2024-01-02 10:14:09,买入,300,16.89,False,16.95,16.95,5085.0,MARKET,0.0,2024-01-02 10:15:09.000
601607.SH,2024-01-02,2024-01-02 10:15:09,买入,300,16.94,True,,16.94,5082.0,PASSIVE,680.0,2024-01-02 10:15:09.680
601607.SH,2024-01-02,2024-01-02 10:16:09,买入,300,16.95,False,16.96,16.96,5088.0,MARKET,460.0,2024-01-02 10:17:09.460
601607.SH,2024-01-02,2024-01-02 10:17:09,买入,300,16.95,False,16.96,16.95,5085.0,MARKET,0.0,2024-01-02 10:18:09.000
601607.SH,2024-01-02,2024-01-02 10:18:09,买入,300,16.95,True,,16.95,5085.0,PASSIVE,0.0,2024-01-02 10:18:09.000
601607.SH,2024-01-02,2024-01-02 10:19:09,买入,300,16.95,True,,16.95,5085.0,PASSIVE,0.0,2024-01-02 10:19:09.000
601607.SH,2024-01-02,2024-01-02 10:20:09,买入,300,16.95,False,16.96,16.95,5085.0,MARKET,0.0,2024-01-02 10:21:09.000
601607.SH,2024-01-02,2024-01-02 10:21:09,买入,300,16.95,True,,16.95,5085.0,PASSIVE,0.0,2024-01-02 10:21:09.000
601607.SH,2024-01-02,2024-01-02 10:22:09,买入,300,16.95,True,,16.95,5085.0,PASSIVE,0.0,2024-01-02 10:22:09.000
601607.SH,2024-01-02,2024-01-02 10:23:09,买入,300,16.95,True,,16.95,5085.0,PASSIVE,0.0,2024-01-02 10:23:09.000
601607.SH,2024-01-02,2024-01-02 10:24:09,买入,300,16.95,False,16.95,16.95,5085.0,MARKET,0.0,2024-01-02 10:25:09.000
601607.SH,2024-01-02,2024-01-02 10:25:09,买入,300,16.94,True,,16.94,5082.0,PASSIVE,28000.0,2024-01-02 10:25:37.000
601607.SH,2024-01-02,2024-01-02 10:26:09,买入,300,16.94,True,,16.94,5082.0,PASSIVE,38100.0,2024-01-02 10:26:47.100
