order_id,action,direction,volume,price,old_position,new_position,position_change
PASSIVE_1000,trade,B,300,16.74,0,300,300
PASSIVE_1001,trade,B,300,16.65,300,600,300
PASSIVE_1002,trade,B,300,16.65,600,900,300
PASSIVE_1003,trade,B,300,16.65,900,1200,300
PASSIVE_1004,trade,B,300,16.66,1200,1500,300
PASSIVE_1005,trade,B,300,16.64,1500,1800,300
PASSIVE_1006,trade,B,300,16.68,1800,2100,300
PASSIVE_1007,trade,B,300,16.72,2100,2400,300
PASSIVE_MKT_1010,trade,B,300,16.78,2400,2700,300
PASSIVE_1009,trade,B,300,16.77,2700,3000,300
PASSIVE_1011,trade,B,300,16.76,3000,3300,300
PASSIVE_1012,trade,B,300,16.78,3300,3600,300
PASSIVE_MKT_1015,trade,B,300,16.79,3600,3900,300
PASSIVE_MKT_1017,trade,B,300,16.81,3900,4200,300
PASSIVE_MKT_1019,trade,B,300,16.83,4200,4500,300
PASSIVE_1018,trade,B,300,16.82,4500,4800,300
PASSIVE_1020,trade,B,300,16.82,4800,5100,300
PASSIVE_1021,trade,B,300,16.82,5100,5400,300
PASSIVE_1022,trade,B,300,16.82,5400,5700,300
PASSIVE_1023,trade,B,300,16.79,5700,6000,300
PASSIVE_1024,trade,B,300,16.79,6000,6300,300
PASSIVE_MKT_1027,trade,B,300,16.82,6300,6600,300
PASSIVE_1026,trade,B,300,16.81,6600,6900,300
PASSIVE_1028,trade,B,300,16.81,6900,7200,300
PASSIVE_MKT_1031,trade,B,300,16.85,7200,7500,300
PASSIVE_1030,trade,B,300,16.84,7500,7800,300
PASSIVE_1032,trade,B,300,16.84,7800,8100,300
PASSIVE_1033,trade,B,300,16.83,8100,8400,300
PASSIVE_1034,trade,B,300,16.83,8400,8700,300
PASSIVE_1035,trade,B,300,16.83,8700,9000,300
PASSIVE_1036,trade,B,300,16.81,9000,9300,300
PASSIVE_MKT_1039,trade,B,300,16.83,9300,9600,300
PASSIVE_MKT_1041,trade,B,300,16.84,9600,9900,300
PASSIVE_MKT_1043,trade,B,300,16.84,9900,10200,300
PASSIVE_MKT_1045,trade,B,300,16.85,10200,10500,300
PASSIVE_MKT_1047,trade,B,300,16.86,10500,10800,300
PASSIVE_MKT_1049,trade,B,300,16.87,10800,11100,300
PASSIVE_MKT_1051,trade,B,300,16.87,11100,11400,300
PASSIVE_1050,trade,B,300,16.86,11400,11700,300
