Exchange,Instrument,Time,Last,AskPrice,BidPrice,AskVolume,BidVolume,Volume
0,601607.SH,91500000,0,"[169900, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[169900, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3000, 2000, 0, 0, 0, 0, 0, 0, 0, 0]","[3000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91503000,0,"[167300, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167300, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3200, 1000, 0, 0, 0, 0, 0, 0, 0, 0]","[3200, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91506000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5600, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5600, 3400, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91509000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9400, 700, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91512000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9400, 700, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91515000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9400, 700, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91521000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9400, 700, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91524000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9400, 700, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91533000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9400, 700, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91545000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9400, 700, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91551000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9400, 700, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91557000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9400, 700, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91606000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 400, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91615000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 400, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91618000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 400, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91627000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 400, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91636000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 400, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91639000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 400, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91645000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 400, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91648000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 400, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91651000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 400, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91654000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 2900, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91700000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 2900, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91706000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 2900, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91709000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 2900, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91712000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 2900, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91718000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 2900, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91721000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 2900, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91736000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 3100, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91800000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 3100, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91803000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 3100, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91815000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 3100, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91845000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 7100, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91848000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 7100, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91900000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 7100, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91903000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 7100, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91906000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 7100, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91909000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 6600, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91915000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 6600, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91924000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 6700, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91927000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 6700, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91933000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 6700, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91936000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 6700, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91939000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 6700, 0, 0, 0, 0, 0, 0, 0, 0]",0
