order_id,direction,volume,price,match_amount,order_time,trade_time,latency_ms,delta_position
PASSIVE_1000,B,300,16.74,5021.999999999999,2024-01-02 09:30:09.000,2024-01-02 09:30:11.060,2060.0,300
PASSIVE_1001,B,300,16.65,4995.0,2024-01-02 09:31:09.000,2024-01-02 09:31:11.330,2330.0,600
PASSIVE_1002,B,300,16.65,4995.0,2024-01-02 09:32:09.000,2024-01-02 09:32:22.790,13790.0,900
PASSIVE_1003,B,300,16.65,4995.0,2024-01-02 09:33:09.000,2024-01-02 09:33:22.570,13570.0,1200
PASSIVE_1004,B,300,16.66,4998.0,2024-01-02 09:34:09.000,2024-01-02 09:34:20.710,11710.0,1500
PASSIVE_1005,B,300,16.64,4992.0,2024-01-02 09:35:09.000,2024-01-02 09:35:15.320,6320.0,1800
PASSIVE_1006,B,300,16.68,5004.0,2024-01-02 09:36:09.000,2024-01-02 09:36:15.540,6540.0,2100
PASSIVE_1007,B,300,16.72,5016.0,2024-01-02 09:37:09.000,2024-01-02 09:37:13.110,4110.0,2400
PASSIVE_MKT_1010,B,300,16.78,5034.0,2024-01-02 09:39:09.000,2024-01-02 09:39:09.000,0.0,2700
PASSIVE_1009,B,300,16.77,5031.0,2024-01-02 09:39:09.000,2024-01-02 09:39:16.130,7130.0,3000
PASSIVE_1011,B,300,16.76,5028.000000000001,2024-01-02 09:40:09.000,2024-01-02 09:40:12.230,3230.0,3300
PASSIVE_1012,B,300,16.78,5034.0,2024-01-02 09:41:09.000,2024-01-02 09:42:01.160,52160.0,3600
PASSIVE_MKT_1015,B,300,16.79,5037.0,2024-01-02 09:43:09.000,2024-01-02 09:43:09.000,0.0,3900
PASSIVE_MKT_1017,B,300,16.81,5043.0,2024-01-02 09:44:09.000,2024-01-02 09:44:09.000,0.0,4200
PASSIVE_MKT_1019,B,300,16.83,5048.999999999999,2024-01-02 09:45:09.000,2024-01-02 09:45:09.000,0.0,4500
PASSIVE_1018,B,300,16.82,5046.0,2024-01-02 09:45:09.000,2024-01-02 09:45:18.750,9750.0,4800
PASSIVE_1020,B,300,16.82,5046.0,2024-01-02 09:46:09.000,2024-01-02 09:46:25.220,16219.999999999998,5100
PASSIVE_1021,B,300,16.82,5046.0,2024-01-02 09:47:09.000,2024-01-02 09:47:20.690,11690.0,5400
PASSIVE_1022,B,300,16.82,5046.0,2024-01-02 09:48:09.000,2024-01-02 09:48:25.440,16440.0,5700
PASSIVE_1023,B,300,16.79,5037.0,2024-01-02 09:49:09.000,2024-01-02 09:49:09.840,840.0,6000
PASSIVE_1024,B,300,16.79,5037.0,2024-01-02 09:50:09.000,2024-01-02 09:50:11.180,2180.0,6300
PASSIVE_MKT_1027,B,300,16.82,5046.0,2024-01-02 09:52:09.000,2024-01-02 09:52:09.000,0.0,6600
PASSIVE_1026,B,300,16.81,5043.0,2024-01-02 09:52:09.000,2024-01-02 09:53:01.180,52180.0,6900
PASSIVE_1028,B,300,16.81,5043.0,2024-01-02 09:53:09.000,2024-01-02 09:53:10.930,1930.0000000000002,7200
PASSIVE_MKT_1031,B,300,16.85,5055.0,2024-01-02 09:55:12.000,2024-01-02 09:55:12.000,0.0,7500
PASSIVE_1030,B,300,16.84,5052.0,2024-01-02 09:55:09.000,2024-01-02 09:55:37.940,28940.0,7800
PASSIVE_1032,B,300,16.84,5052.0,2024-01-02 09:56:09.000,2024-01-02 09:56:31.160,22160.0,8100
PASSIVE_1033,B,300,16.83,5048.999999999999,2024-01-02 09:57:09.000,2024-01-02 09:57:52.840,43840.0,8400
PASSIVE_1034,B,300,16.83,5048.999999999999,2024-01-02 09:58:09.000,2024-01-02 09:59:06.540,57540.0,8700
PASSIVE_1035,B,300,16.83,5048.999999999999,2024-01-02 09:59:09.000,2024-01-02 09:59:11.630,2630.0,9000
PASSIVE_1036,B,300,16.81,5043.0,2024-01-02 10:00:09.000,2024-01-02 10:00:30.370,21370.0,9300
PASSIVE_MKT_1039,B,300,16.83,5048.999999999999,2024-01-02 10:02:09.000,2024-01-02 10:02:09.000,0.0,9600
PASSIVE_MKT_1041,B,300,16.84,5052.0,2024-01-02 10:03:09.000,2024-01-02 10:03:09.000,0.0,9900
PASSIVE_MKT_1043,B,300,16.84,5052.0,2024-01-02 10:04:12.000,2024-01-02 10:04:12.000,0.0,10200
PASSIVE_MKT_1045,B,300,16.85,5055.0,2024-01-02 10:05:12.000,2024-01-02 10:05:12.000,0.0,10500
PASSIVE_MKT_1047,B,300,16.86,5058.0,2024-01-02 10:06:09.000,2024-01-02 10:06:09.000,0.0,10800
PASSIVE_MKT_1049,B,300,16.87,5061.0,2024-01-02 10:07:09.000,2024-01-02 10:07:09.000,0.0,11100
PASSIVE_MKT_1051,B,300,16.87,5061.0,2024-01-02 10:08:09.000,2024-01-02 10:08:09.000,0.0,11400
PASSIVE_1050,B,300,16.86,5058.0,2024-01-02 10:08:09.000,2024-01-02 10:08:34.560,25560.0,11700
PASSIVE_MKT_1054,B,300,16.9,5070.0,2024-01-02 10:10:09.000,2024-01-02 10:10:09.000,0.0,12000
PASSIVE_1053,B,300,16.89,5067.0,2024-01-02 10:10:09.000,2024-01-02 10:11:06.660,57660.0,12300
PASSIVE_1055,B,300,16.89,5067.0,2024-01-02 10:11:09.000,2024-01-02 10:11:43.680,34680.0,12600
PASSIVE_1056,B,300,16.89,5067.0,2024-01-02 10:12:09.000,2024-01-02 10:12:57.140,48140.0,12900
PASSIVE_MKT_1059,B,300,16.9,5070.0,2024-01-02 10:14:09.000,2024-01-02 10:14:09.000,0.0,13200
PASSIVE_MKT_1061,B,300,16.95,5085.0,2024-01-02 10:15:09.000,2024-01-02 10:15:09.000,0.0,13500
PASSIVE_1060,B,300,16.94,5082.0,2024-01-02 10:15:09.000,2024-01-02 10:15:09.680,680.0,13800
